🌺重要公告🌸,#genre#
💐感谢你陪我一程,https://vd3.bdstatic.com/mda-qj91v6k3eysrk3jc/sc/bd265_cae_roi_v6/1728524548210051200/mda-qj91v6k3eysrk3jc.mp4
💐🙏💐💐君赢天下,https://ipv4wp.axzzz.top:9503/f/2NkAhZ/%E5%BC%80%E6%9C%BA.mp4
🎉重🎉永远免费,https://vd3.bdstatic.com/mda-pmtxtm19gnics7y0/sc/bd265_cae_roi_v6/1703848963097886468/mda-pmtxtm19gnics7y0.mp4
🎉要🎉免会员,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
🎉公🎉无限制,https://vd3.bdstatic.com/mda-qe0xefpwh9nuhqw5/sc/bd265_cae_visr_v6/1715785379750217260/mda-qe0xefpwh9nuhqw5.mp4
🎉告🎉无广告,https://vd3.bdstatic.com/mda-pmr08xak9uh2c8f8/sc/bd265_cae_roi_v6/1703799114073392432/mda-pmr08xak9uh2c8f8.mp4
🎉👇👀🎉禁止买卖,https://vd3.bdstatic.com/mda-qa42tyxnqakesi48/sc/bd265_cae_roi_v6/1704420849457423285/mda-qa42tyxnqakesi48.mp4
👉把家里路由器,https://txmov2.a.kwimgs.com/upic/2022/03/21/19/BMjAyMjAzMjExOTA2MjRfMjYyNzI4Mjc4MV83MDE2MTEwMjY1Ml8yXzM=_b_B977559109a6b2bec30b01e11d458d398.mp4
👉设置ipv6网络,https://vd3.bdstatic.com/mda-qcnhc9pcq3dhrreu/default/bd265_cae_roi_v6/1711197070934641369/mda-qcnhc9pcq3dhrreu.mp4
👉观看所有线路,https://vdse.bdstatic.com//fbbd25c517d1ba56b3ecbfb16c27d7e9.mp4
👉加群更精彩,https://vd3.bdstatic.com/mda-qcnh9c8zhf4fqew2/default/bd265_cae_roi_v6/1711196849718644210/mda-qcnh9c8zhf4fqew2.mp4
QQ群809168930,https://vd3.bdstatic.com/mda-qcp7115v9ma9vtni/default/bd265_cae_roi_v6/1711257703154341697/mda-qcp7115v9ma9vtni.mp4
🌸👆🌸👉💐君赢天下,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
🌸酷9👉移动,https://vd3.bdstatic.com/mda-nbn9ud3ukuw0mtsy/480p/h264_delogo/1645600453315520060/mda-nbn9ud3ukuw0mtsy.mp4
🌸壳🌸👉iqv6,https://vd3.bdstatic.com/mda-qcid944hmwkr99wf/default/bd265_cae_roi_v6/1710841469003946466/mda-qcid944hmwkr99wf.mp4
🌸观🌸👉ipv6,https://vd3.bdstatic.com/mda-pi20hnzdtvcip271/sc/bd265_cae_roi_v5/1693702726155152409/mda-pi20hnzdtvcip271.mp4
🌸看🌸👉ipv6,https://vd3.bdstatic.com/mda-qbi21qmg7wb8cn90/sc/bd265_cae_roi_v6/1708306921837782204/mda-qbi21qmg7wb8cn90.mp4
🌸所🌸👉ipv6,https://vd3.bdstatic.com/mda-qcp7115v9ma9vtni/default/bd265_cae_roi_v6/1711257703154341697/mda-qcp7115v9ma9vtni.mp4
🌸有🌸👉ipv6,https://vd3.bdstatic.com/mda-qcp6yyyvsj8yi2si/default/bd265_cae_roi_v6/1711256664127281250/mda-qcp6yyyvsj8yi2si.mp4
🌸节🌸👉3D电影,https://vd3.bdstatic.com/mda-kj0kfvyty9dk9nk0/v1-cae/sc/mda-kj0kfvyty9dk9nk0.mp4
🌸目🌸👉3D投影1,https://vd4.bdstatic.com/mda-ncuizu4wfrjswzxp/720p/h264_delogo/1648560283895563574/mda-ncuizu4wfrjswzxp.mp4
🌸🙏🌸👉3D投影2,https://vd4.bdstatic.com/mda-ncuiyrw7qj9x5w3z/720p/h264_delogo/1648560203494563586/mda-ncuiyrw7qj9x5w3z.mp4
👉加群更精彩,https://vd3.bdstatic.com/mda-qcnh9c8zhf4fqew2/default/bd265_cae_roi_v6/1711196849718644210/mda-qcnh9c8zhf4fqew2.mp4
QQ群809168930,https://vd3.bdstatic.com/mda-qcp7115v9ma9vtni/default/bd265_cae_roi_v6/1711257703154341697/mda-qcp7115v9ma9vtni.mp4
做一个有良心的人,https://vd3.bdstatic.com/mda-qjp6jc5qd1t0s7k7/720p/bd265_cae_visr_v7/1729747417368212139/mda-qjp6jc5qd1t0s7k7.mp4
恒大歌舞精彩表演，配曲《甜蜜哥妹情》,https://vd3.bdstatic.com/mda-qh6ym2me7r9x46rc/sc/bd265_cae_visr_v6/1723076849441992601/mda-qh6ym2me7r9x46rc.mp4
恒大歌舞精彩表演，配曲《男情女爱》,https://vd3.bdstatic.com/mda-qhax6bq6684c861a/sc/bd265_cae_visr_v6/1723414774201853637/mda-qhax6bq6684c861a.mp4
恒大歌舞精彩表演，配曲《你是我的梦梦梦》,https://vd3.bdstatic.com/mda-qgvww0zwr1iibg46/sc/bd265_cae_visr_v6/1722377545892081700/mda-qgvww0zwr1iibg46.mp4
恒大歌舞精彩表演，配曲《妹妹的相思酒》,https://vd3.bdstatic.com/mda-qh0x7sid7qyctkd0/sc/bd265_cae_visr_v6/1722552871825229249/mda-qh0x7sid7qyctkd0.mp4
恒大歌舞精彩表演，配曲《远方的朋友我想你》,https://vd3.bdstatic.com/mda-qh1xqn06unmpaqyw/sc/bd265_cae_visr_v6/1722639477948453960/mda-qh1xqn06unmpaqyw.mp4
恒大歌舞精彩表演，配曲《自从那天遇见你》,https://vd3.bdstatic.com/mda-qh4y0wwtsc2t3icx/sc/bd265_cae_visr_v6/1723156377752547603/mda-qh4y0wwtsc2t3icx.mp4
恒大歌舞精彩表演，配曲《来生再去拥抱你》,https://vd3.bdstatic.com/mda-qh8x4nm6ruvtgmrf/sc/bd265_cae_visr_v6/1723249404270907904/mda-qh8x4nm6ruvtgmrf.mp4
恒大歌舞精彩配曲《桃花树下唱情歌》,https://vd3.bdstatic.com/mda-qis272bvvxddrxzj/sc/wz265_v3/1727423050914926550/mda-qis272bvvxddrxzj.mp4
恒大歌舞精彩配曲《带着哥哥唱情歌》,https://vd3.bdstatic.com/mda-qh82hg2huvud7te1/sc/bd265_cae_visr_v6/1725844641254140332/mda-qh82hg2huvud7te1.mp4
你做了我梦里的人,https://vd3.bdstatic.com/mda-qk359hd9t9bqg7xh/720p/bd265_cae_visr_v7/1730780230457395345/mda-qk359hd9t9bqg7xh.mp4
我把来生许给你,https://vd3.bdstatic.com/mda-qk03pihpjx360pnw/720p/bd265_cae_visr_v7/1730524455878149787/mda-qk03pihpjx360pnw.mp4
我最思念的人你在哪里,https://vd3.bdstatic.com/mda-qim28nim6v2a8s3u/sc/bd265_cae_visr_v6/1726973341916478962/mda-qim28nim6v2a8s3u.mp4
《爱听情歌的人》,https://vd3.bdstatic.com/mda-qfvahgijk1z1n3bz/sc/bd265_cae_visr_v6/1720534511142482293/mda-qfvahgijk1z1n3bz.mp4
奈何桥上哭一场,https://vd3.bdstatic.com/mda-qjb9xf14260v7k7p/720p/bd265_cae_visr_v7/1729984445704720608/mda-qjb9xf14260v7k7p.mp4
谁的生活没有眼泪,https://vd3.bdstatic.com/mda-qir9km4pc260fnjs/sc/bd265_cae_roi_v6/1727339090396542158/mda-qir9km4pc260fnjs.mp4
活在世上就要快乐,https://vd3.bdstatic.com/mda-qj76m9ss78ha1zud/sc/bd265_cae_visr_v6/1728469923364253968/mda-qj76m9ss78ha1zud.mp4
《不要走不要走》,https://vd3.bdstatic.com/mda-qgi1gyh9466q2nqj/sc/bd265_cae_visr_v6/1721603287935672973/mda-qgi1gyh9466q2nqj.mp4
🇨🇳央视频道,#genre#
CCTV-01频道,http://112.102.217.173:9003//hls/13/index.m3u8
CCTV-02频道,http://112.102.217.173:9003//hls/14/index.m3u8
CCTV-03频道,http://112.102.217.173:9003//hls/15/index.m3u8
CCTV-04频道,http://112.102.217.173:9003//hls/16/index.m3u8
CCTV-05频道,http://112.102.217.173:9003//hls/17/index.m3u8
CCTV-5+频道,http://112.102.217.173:9003//hls/18/index.m3u8
CCTV-06频道,http://112.102.217.173:9003//hls/19/index.m3u8
CCTV-07频道,http://112.102.217.173:9003//hls/20/index.m3u8
CCTV-08频道,http://112.102.217.173:9003//hls/21/index.m3u8
CCTV-09频道,http://112.102.217.173:9003//hls/22/index.m3u8
CCTV-10频道,http://112.102.217.173:9003//hls/23/index.m3u8
CCTV-11频道,http://112.102.217.173:9003//hls/24/index.m3u8
CCTV-12频道,http://112.102.217.173:9003//hls/25/index.m3u8
CCTV-13频道,http://112.102.217.173:9003//hls/26/index.m3u8
CCTV-14频道,http://112.102.217.173:9003//hls/27/index.m3u8
CCTV-15频道,http://112.102.217.173:9003//hls/28/index.m3u8
CCTV-16频道,http://112.102.217.173:9003//hls/29/index.m3u8
CCTV-17频道,http://112.102.217.173:9003//hls/30/index.m3u8
CCTV-01频道,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8
CCTV-02频道,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-03频道,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV-04频道,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8
CCTV-05频道,http://218.13.170.98:9901/tsfile/live/0005_1.m3u8
CCTV-06频道,http://218.13.170.98:9901/tsfile/live/0006_1.m3u8
CCTV-07频道,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8
CCTV-08频道,http://218.13.170.98:9901/tsfile/live/0008_1.m3u8
CCTV-09频道,http://218.13.170.98:9901/tsfile/live/0009_1.m3u8
