广东有线组播,#genre#
翡翠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.1:11111
明珠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.2:11111
凤凰中文,http://qjrhc.jydjd.top:2911/udp/224.1.100.3:11111
广电民生,http://qjrhc.jydjd.top:2911/udp/224.1.100.4:11111
广东新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.5:11111
广东经济科教,http://qjrhc.jydjd.top:2911/udp/224.1.100.6:11111
大湾区卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.7:11111
广东少儿,http://qjrhc.jydjd.top:2911/udp/224.1.100.9:11111
宁夏卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.8:11111
广东影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.11:11111
甘肃卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.10:11111
澳亚卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.12:11111
星空,http://qjrhc.jydjd.top:2911/udp/224.1.100.13:11111
新疆卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.14:11111
海南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.15:11111
海南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.16:11111
广州法治,http://qjrhc.jydjd.top:2911/udp/224.1.100.17:11111
河北卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.19:11111
广州法治,http://qjrhc.jydjd.top:2911/udp/224.1.100.18:11111
河北卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.20:11111
云南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.21:11111
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.23:11111
云南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.22:11111
CCTV5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.25:11111
广东珠江,http://qjrhc.jydjd.top:2911/udp/224.1.100.24:11111
CCTV7,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111
CCTV9,http://qjrhc.jydjd.top:2911/udp/224.1.100.29:11111
CCTV7,http://qjrhc.jydjd.top:2911/udp/224.1.100.28:11111
纪实科教,http://qjrhc.jydjd.top:2911/udp/224.1.100.31:11111
CCTV9,http://qjrhc.jydjd.top:2911/udp/224.1.100.30:11111
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.33:11111
纪实科教,http://qjrhc.jydjd.top:2911/udp/224.1.100.32:11111
广东体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.34:11111
广州综合,http://qjrhc.jydjd.top:2911/udp/224.1.100.35:11111
广州综合,http://qjrhc.jydjd.top:2911/udp/224.1.100.36:11111
广州新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.37:11111
广州新闻,http://qjrhc.jydjd.top:2911/udp/224.1.100.38:11111
深圳卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.39:11111
深圳卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.40:11111
CCTV15,http://qjrhc.jydjd.top:2911/udp/224.1.100.42:11111
CCTV15,http://qjrhc.jydjd.top:2911/udp/224.1.100.41:11111
CCTV11,http://qjrhc.jydjd.top:2911/udp/224.1.100.44:11111
CCTV11,http://qjrhc.jydjd.top:2911/udp/224.1.100.43:11111
江苏卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.45:11111
江苏卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.46:11111
东方卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.47:11111
东方卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.48:11111
山东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.50:11111
山东卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.49:11111
浙江卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.51:11111
