三网央视,#genre#
CCTV1,http://144.0.18.28:8018/hls/1/index.m3u8
CCTV2,http://144.0.18.28:8018/hls/2/index.m3u8
CCTV3,http://144.0.18.28:8018/hls/3/index.m3u8#http://113.64.146.6:2024/hls/20/index.m3u8
CCTV4,http://144.0.18.28:8018/hls/4/index.m3u8

CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV5,http://144.0.18.28:8018/hls/5/index.m3u8
CCTV6,http://144.0.18.28:8018/hls/6/index.m3u8

CCTV5+,http://222.213.163.143:8547/hls/16/index.m3u8
CCTV5+,http://1.24.190.122:1080/hls/16/index.m3u8
CCTV5+,http://110.52.8.56:808/hls/6/index.m3u8
CCTV6,http://58.254.14.13:808/hls/6/index.m3u8 
CCTV7,http://58.254.14.13:808/hls/7/index.m3u8 
CCTV8,http://58.254.14.13:808/hls/8/index.m3u8 
CCTV9,http://58.254.14.13:808/hls/9/index.m3u8 
CCTV10,http://58.254.14.13:808/hls/10/index.m3u8 
CCTV11,http://58.254.14.13:808/hls/11/index.m3u8 
CCTV12,http://58.254.14.13:808/hls/12/index.m3u8 
CCTV13,http://58.254.14.13:808/hls/13/index.m3u8
CCTV14,http://58.254.14.13:808/hls/14/index.m3u8 
CCTV15,http://58.254.14.13:808/hls/15/index.m3u8 
CCTV16,http://60.223.255.143:8800/hls/129/index.m3u8
CCTV17,http://101.228.217.41:9091/hls/16/index.m3u8 


东方卫视,http://101.228.217.41:9091/hls/17/index.m3u8
都市频道,http://101.228.217.41:9091/hls/18/index.m3u8
江苏卫视,http://101.228.217.41:9091/hls/19/index.m3u8
湖南卫视, 
广东卫视,http://101.228.217.41:9091/hls/21/index.m3u8
深圳卫视,http://101.228.217.41:9091/hls/22/index.m3u8
黑龙江卫视,http://101.228.217.41:9091/hls/23/index.m3u8
湖北卫视,http://101.228.217.41:9091/hls/24/index.m3u8
安徽卫视,http://101.228.217.41:9091/hls/25/index.m3u8
重庆教育,http://101.228.217.41:9091/hls/26/index.m3u8
贵州卫视,http://101.228.217.41:9091/hls/27/index.m3u8
河北卫视,http://101.228.217.41:9091/hls/28/index.m3u8
金鹰纪实,http://101.228.217.41:9091/hls/29/index.m3u8
河南卫视,http://101.228.217.41:9091/hls/30/index.m3u8
广西卫视,http://101.228.217.41:9091/hls/31/index.m3u8
甘肃卫视,http://101.228.217.41:9091/hls/32/index.m3u8






CCTV8,http://144.0.18.28:8018/hls/8/index.m3u8
CCTV9,http://144.0.18.28:8018/hls/9/index.m3u8
CCTV10,http://144.0.18.28:8018/hls/10/index.m3u8

CCTV12,http://144.0.18.28:8018/hls/12/index.m3u8

CCTV14,http://144.0.18.28:8018/hls/14/index.m3u8

CCTV5,http://113.64.146.6:2024/hls/22/index.m3u8
CCTV6,http://113.64.146.6:2024/hls/23/index.m3u8
 
CCTV8,http://113.64.146.6:2024/hls/25/index.m3u8
CCTV9,http://113.64.146.6:2024/hls/26/index.m3u8
CCTV10,http://113.64.146.6:2024/hls/28/index.m3u8
CCTV11,http://113.64.146.6:2024/hls/29/index.m3u8

湖南卫视,http://112.46.105.20:8009/hls/32/index.m3u8 
湖南卫视,http://144.0.18.66:8018/hls/50/index.m3u8
江苏卫视,http://144.0.18.28:8018/hls/51/index.m3u8
浙江卫视,http://144.0.18.28:8018/hls/52/index.m3u8
东方卫视,http://144.0.18.28:8018/hls/54/index.m3u8

北京卫视,http://144.0.18.28:8018/hls/46/index.m3u8
深圳卫视,http://144.0.18.28:8018/hls/72/index.m3u8
甘肃卫视,http://144.0.18.28:8018/hls/56/index.m3u8
广东卫视,http://144.0.18.28:8018/hls/57/index.m3u8
东南卫视,http://144.0.18.28:8018/hls/55/index.m3u8
黑龙江卫视,http://144.0.18.28:8018/hls/58/index.m3u8
黑龙江卫视,http://144.0.18.28:8018/hls/63/index.m3u8
吉林卫视,http://115.58.216.13:60001/hls/53/index.m3u8
吉林卫视,http://222.213.163.143:8547/hls/45/index.m3u8
辽宁卫视,http://113.64.146.6:2024/hls/67/index.m3u8
东南卫视,http://1.24.190.122:1080/hls/88/index.m3u8
 
安徽卫视,http://144.0.18.28:8018/hls/48/index.m3u8
 
青海卫视,http://144.0.18.28:8018/hls/69/index.m3u8
 
云南卫视,http://113.64.146.6:2024/hls/86/index.m3u8
贵州卫视,http://144.0.18.28:8018/hls/73/index.m3u8
四川卫视,http://113.64.146.6:2024/hls/65/index.m3u8
四川卫视,http://1.24.190.122:1080/hls/86/index.m3u8
东方卫视,http://113.64.146.6:2024/hls/58/index.m3u8
江苏卫视,http://113.64.146.6:2024/hls/59/index.m3u8
北京卫视,http://113.64.146.6:2024/hls/60/index.m3u8
江西卫视,http://113.64.146.6:2024/hls/61/index.m3u8
山东卫视,http://113.64.146.6:2024/hls/62/index.m3u8
大湾区卫视,http://113.64.146.6:2024/hls/63/index.m3u8
陕西卫视,http://123.10.79.50:808/hls/57/index.m3u8
安徽卫视,http://113.64.146.6:2024/hls/66/index.m3u8
山西卫视,http://60.223.255.143:8800/hls/20/index.m3u8
湖北卫视,http://113.64.146.6:2024/hls/68/index.m3u8
天津卫视,http://113.64.146.6:2024/hls/69/index.m3u8
黑龙江卫视,http://113.64.146.6:2024/hls/70/index.m3u8
