 经典电影嘉兴,#genre#

CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy

环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
东森电影台,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
好莱坞电影台,http://50.7.234.10:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
4K影院 20M,http://39.134.136.161:6610/000000001000/6000000003000004748/index.m3u8?livemode=1&stbId=1213&channel-id=wasusyt&Contentid=6000000003000004748
华数4K 15M2160,http://39.134.136.161:6610/000000001000/2000000004000000014/index.m3u8?livemode=1&stbId=10&channel-id=hnbblive&Contentid=2000000004000000014
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
YMG未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
北京IPTV淘电影,http://39.134.135.81/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
 CCTV6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0                                                                     
 1905国内电影,http://xxw.me0.cn/1905dy.php?id=1905a
1905国外电影,http://xxw.me0.cn/1905dy.php?id=1905b
 黃金華劇臺,http://158.247.232.58:29191/stream/mytv/tvbhjhj/master.m3u8                                                                                                                                                                                                
  美亞電影臺,http://149.28.150.229:29191/stream/mytv/mydy/master.m3u8                                                                                                                                                                                                                                                              
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空,http://119.32.12.44:2901/udp/224.1.100.13:11111
重溫經典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv#http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典影视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com//00/SNM/CHANNEL20000003/index.m3u8?IAS
 東森電影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
天映频道,http://50.7.234.10:8278/Celestial/playlist.m3u8?tid=MB0B6153961161539611&ct=19955&tsum=595ff8b4e51dcb87b06c193bdd260231
天映经典,http://50.7.234.10:8278/Celestial2/playlist.m3u8?tid=MD4D4914978049149780&ct=19955&tsum=f559497d6460d2c46621e285faa7cad4
澳门莲花,http://php.jdshipin.com:8880/amlh.php
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
NewTv黑莓电影,http://39.134.134.51/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8?zoneoffset=480&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EkBVQL3MtyiM0GGQzuPjqAQ%7EpK8OKM5JoJWWbLRyLfPcUMkwWZ90MzSI9S9PDltJsYzd0ZGcS3Tkh7syciNKJa-w60mDOdwtDyoNwCx9aRgzHNH9AUREV_qvNJtXHRPzYw0%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3D%3D%3A20221022013542%2C915973%2C119.123.71.209%2C20221022013542%2C10000100000000050000000005002606%2C915973%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C371210150%2CEND&GuardEncType=2
NewTv超级电影,http://39.134.134.47/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8?zoneoffset=480&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EOKgJ-MarN4M0aStGnXjR0A%7EpK8OKM5JoJWWbLRyLfPcUMkwWZ90MzSI9S9PDltJsYzd0ZGcS3Tkh7syciNKJa-w60mDOdwtDyoNwCx9aRgzHNH9AUREV_qvNJtXHRPzYw0%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3D%3D%3A20221022013542%2C915973%2C119.123.71.209%2C20221022013542%2C10000100000000050000000005002658%2C915973%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C371700698%2CEND&GuardEncType=2
NewTv动作电影,http://39.134.134.87/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226974/1.m3u8?zoneoffset=480&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EBow_B3ta32lPIHmLzLPzVQ%7EpK8OKM5JoJWWbLRyLfPcUMkwWZ90MzSI9S9PDltJsYzd0ZGcS3Tkh7syciNKJa-w60mDOdwtDyoNwCx9aRgzHNH9AUREV_qvNJtXHRPzYw0%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3D%3D%3A20221022013542%2C915973%2C119.123.71.209%2C20221022013542%2C10000100000000050000000005002640%2C915973%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C371670919%2CEND&GuardEncType=2

 
经典港剧嘉兴,#genre#

1封神榜,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23749096
2西游记2,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23735126
3大头绿衣斗僵尸,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865152
4扫黄先锋,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23903196
5楚汉骄雄,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23740156
6西游记1,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23728660
7笑看风云,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865058
8鹿鼎记84,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23734183
9金枝欲孽,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865036
10倚天屠龙记,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23734246
11野蛮奶奶,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23863796
12创世纪,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23749083
13埋堆堆,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23824164
14法证先锋,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23863804
15笑傲江湖,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865142
16鉴证实录,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23903183
17洗冤录,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23903130
18刑事侦缉档案,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23734169
19大唐双龙传,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23728674
20鹿鼎记98,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865080
21天龙八部,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23903123
22寻秦记,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23864973
23陀枪师姐,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23860039
24神雕侠侣,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865171
25使徒行者,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23734256
26妙手仁心,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23829543
27大时代,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=23865161
28狄仁杰,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=11352958
29金庸剧,http://d1.x-y-z.sbs/小凯影视交流/hy.php?id=11602082
