🌼 流行歌曲,#genre#
纯音乐,https://txmov2.a.kwimgs.com/upic/2024/04/03/00/BMjAyNDA0MDMwMDE0MjRfMTE1OTE4MDcwOV8xMjg4NDQ3NzY0MjRfMl8z_b_Bf84874748cbf99de029e403a4a8dacad.mp4?tag=1-1713156985-std-1-9xfggyqevt-668681c55e3dbd4a&clientCacheKey=3xp35ta6xk8qa72_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
请你欣赏,http://txmov2.a.kwimgs.com/upic/2023/05/22/22/BMjAyMzA1MjIyMjMxNDlfMTcwNTk5OTU1MF8xMDM3MzY2Njc2MjVfMF8z_b_Bfe2fa462e55bfe17f2727739cb9d2628.mp4?tag=1-1699376203-std-1-hky8soz9pr-d1655d0a360858ee&clientCacheKey=3x79j8eqgecq6aq_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
埋在心底的爱,https://st.pgdjz.fun/%2Fzwmtv%2F2024%2F%E4%BD%95%E6%AC%A2%E6%B5%AA%20-%20%E5%9F%8B%E5%9C%A8%E5%BF%83%E5%BA%95%E7%9A%84%E7%88%B1%EF%BC%88%E8%BD%A6%E8%BD%BDMV%E6%AD%8C%E6%9B%B2%E8%A7%86%E9%A2%91%EF%BC%89.mp4
爱情着了火dj,https://txmov2.a.kwimgs.com/upic/2023/09/12/03/BMjAyMzA5MTIwMzI1NTZfMTE1OTE4MDcwOV8xMTI2MTIxNTMxMTJfMl8z_b_B82f905de58318254b14bacfaecf21e23.mp4?tag=1-1702523701-std-1-zaihaugqtw-795fc13eda22741a&clientCacheKey=3xr2je6ij2gbftg_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
我的楼兰dj,https://txmov2.a.kwimgs.com/upic/2023/09/20/14/BMjAyMzA5MjAxNDQ2NDdfMTE1OTE4MDcwOV8xMTMxODQ5Mzk5MjVfMl8z_bF_B3de01c74c24dd40b9fe4c1777ce0bc18.mp4?tag=1-1702523400-std-1-dtzejnovx0-8e9fd97cac0257c7&clientCacheKey=3xxbnq3zsk2u499_bF.mp4&tt=bF&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
刀郎情人,https://txmov2.a.kwimgs.com/upic/2024/03/25/13/BMjAyNDAzMjUxMzEyNTNfMTE1OTE4MDcwOV8xMjgxNjk4NjUwMThfMl8z_b_B8f1475d089b0b217d2c53a41eed61221.mp4?tag=1-1713157284-std-1-5gah1sezhn-23a2aa6bb5be371f&clientCacheKey=3xpqbbbe3kj8v8s_b.mp4&tt=b&di=88cc45f&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
韩舞团,http://gcw.bdcdn.shoujiduoduo.com/201805/0748-641.mp4
摇太阳,https://st.pgdjz.fun/%2Fzwmtv%2F2024%2F%E6%B2%88%E4%BD%B3%E4%BE%9D%20-%20%E6%91%87%E5%A4%AA%E9%98%B3%EF%BC%88DJ%E7%89%88%E7%BB%8F%E5%85%B8%E6%AD%8C%E6%9B%B2%E5%A5%B3%E5%A3%B0%E8%B7%B3%E8%88%9E%E8%A7%86%E9%A2%91%EF%BC%89.mp4
别知己,https://vd3.bdstatic.com/mda-pjpmxj8nps7esymw/576p/h264/1698161340027041596/mda-pjpmxj8nps7esymw.mp4
极品抖奶车载DJ,https://vd3.bdstatic.com/mda-pm59vs35hc1xpf97/sc/cae_h264_mcsic/1701898696264891171/mda-pm59vs35hc1xpf97.mp4
彩虹的微笑,https://vd3.bdstatic.com/mda-padibrajpnmvbamf/sc/cae_h264/1673701311317842894/mda-padibrajpnmvbamf.mp4?pd=19&vt=1
dj歌曲1,https://vd3.bdstatic.com/mda-mm68drt808w1nins/720p/h264/1638861890075163680/mda-mm68drt808w1nins.mp4
几首伤感dj,https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
几首动感dj,https://vd3.bdstatic.com/mda-mm49pxqfvevcqbx4/sc/cae_h264/1638687905397245214/mda-mm49pxqfvevcqbx4.mp4
精选dj,https://vd3.bdstatic.com/mda-mm68drt808w1nins/720p/h264/1638861890075163680/mda-mm68drt808w1nins.mp4
欧洲美女,http://219.144.90.62/txmov2.a.kwimgs.com/upic/2023/09/10/17/BMjAyMzA5MTAxNzI5MjhfODgyODUyMjI4XzExMjUxODY2NjYwMl8yXzM=_b_Be0960118ee2c08006535d3bd6552e65a.mp4?mkey=lego_ztc&ali_redirect_ex_hot=66666800&mark_h=20&di=529d11df&sche_type=7&tt=b&clientCacheKey=3x6cgd2fsrkngxw_b.mp4&tag=1-1699374580-std-1-xsjjd1unqp-51a41cdb5a91a75a&ali_redirect_ex_beacon=1&f=00&bp=12681
💫热舞,https://txmov2.a.kwimgs.com/upic/2024/08/04/22/BMjAyNDA4MDQyMjU4NThfNDk2OTQ4NjMzXzEzOTgwMDc4MjQ0N18xXzM=_b_Bb24ec0d0162a641ca90abf92660c8007.mp4?tag=1-1723453037-std-1-ah23c2bepw-207c5e3eb7b93dd7&clientCacheKey=3ximyzwa23x6zic_b.mp4&tt=b&di=31e8080c&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🌸热舞,https://txmov2.a.kwimgs.com/upic/2024/06/25/23/BMjAyNDA2MjUyMzIxNDNfMTUyNzQ1MzgzMV8xMzU5NDcxNTMzMjVfMl8z_b_B6e0cf9ac9a1a0fac9ce89d6efb600025.mp4?tag=1-1727003502-unknown-0-ldxhvqqxhl-e34de9ceee9a5cdc&clientCacheKey=3xw4xgiwurmma64_b.mp4&bp=10000&tt=b&ss=vp
♨️热舞,https://txmov2.a.kwimgs.com/upic/2024/06/28/00/BMjAyNDA2MjgwMDMwMTlfMTUyNzQ1MzgzMV8xMzYxMTEzMDkxMTRfMl8z_b_Bd09f1e6a07b5cf1386281cebd3d839b3.mp4?tag=1-1727003445-unknown-0-yyiusflovn-15986110025e5190&clientCacheKey=3xi4jr592aeag6u_b.mp4&bp=10000&tt=b&ss=vp
💃热歌,https://txmov2.a.kwimgs.com/upic/2023/06/01/17/BMjAyMzA2MDExNzUxMjdfMjM0Mjg1Nzg4Ml8xMDQ0ODg1Njc5MTdfMV8z_b_B652ccbfc17beaebc0596ec754a981a84.mp4?tag=1-1701951044-std-1-kiinpjcas0-75b00c03092c5660&clientCacheKey=3xt2hss8pf3dbq4_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
🎸热舞,https://txmov2.a.kwimgs.com/upic/2024/07/17/22/BMjAyNDA3MTcyMjU4MTBfNDk2OTQ4NjMzXzEzODAyMDc2NzYxOF8xXzM=_b_B4818f7d884ff6b3a4ebba276d8c4c884.mp4?tag=1-1723453273-std-1-nd0avnoxyb-c2f261e72903062f&clientCacheKey=3xnv9tdqhnsh8wu_b.mp4&tt=b&di=31e8080c&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
💃热舞,https://txmov2.a.kwimgs.com/upic/2024/06/01/21/BMjAyNDA2MDEyMTU4MDJfMTUyNzQ1MzgzMV8xMzM4NzQxMzM5MjRfMl8z_b_B0a3848ae43af7cafd3803bd555f94108.mp4?tag=1-1727003749-unknown-0-pynsj8xbsh-2f6495f174e1ec2b&clientCacheKey=3x6aiezdz2ju7ze_b.mp4&bp=10000&tt=b&ss=vp
✨热舞,https://txmov2.a.kwimgs.com/upic/2024/03/18/23/BMjAyNDAzMTgyMzE5NTZfMTUyNzQ1MzgzMV8xMjc2NTgxOTE5NTRfMl8z_b_B5b513b466b751c323a77d41f82888f18.mp4?tag=1-1727005342-unknown-0-mdbywdbfwb-e68037b5ad4aa189&clientCacheKey=3xgy6mriuuainvy_b.mp4&bp=10000&tt=b&ss=vp
💎热舞,https://txmov2.a.kwimgs.com/upic/2024/03/28/17/BMjAyNDAzMjgxNzI0NTVfMTUyNzQ1MzgzMV8xMjgzOTI0MjI2MjVfMl8z_b_B0849d1f51593d07381fd5dd18df7d46c.mp4?tag=1-1727005008-unknown-0-jjocipm5bp-6062bc71c6788fcd&clientCacheKey=3xd4huar5ihaeqm_b.mp4&bp=10000&tt=b&ss=vp
💃泳装美人,https://txmov2.a.kwimgs.com/upic/2024/07/27/18/BMjAyNDA3MjcxODUyNDZfNTQzMjExOTUyXzEzODk4MDU4NTg3MV8yXzM=_b_B529c4ac9ddd03933203ec21eba088c0b.mp4?tag=1-1726993602-unknown-0-ld5doflkgi-c29f0712ccfc7341&clientCacheKey=3xhqxkrawerk3w4_b.mp4&bp=10000&tt=b&ss=vp
🌸泳装美人,https://txmov2.a.kwimgs.com/upic/2024/09/04/17/BMjAyNDA5MDQxNzE3MTdfNTQzMjExOTUyXzE0MjcwNjc5NTQ0OF8yXzM=_b_Bbafa10e819262ef59e09bd1417099b77.mp4?tag=1-1726993538-unknown-0-n5k9efj2hl-dec776492b66f26d&clientCacheKey=3xbmsnpqit26kp2_b.mp4&bp=10000&tt=b&ss=vp
人生如梦,https://txmov2.a.kwimgs.com/upic/2022/09/07/16/BMjAyMjA5MDcxNjMwMjlfNTQzMjExOTUyXzgzNjYyMzc1NjAwXzJfMw==_b_Bc6c6a7d817aca319f9426ec0f546690f.mp4?tag=1-1713179804-unknown-0-5cjffixoro-945d4f5a8ed5d685&clientCacheKey=3xkek929w7w3np6_b.mp4&bp=10000&tt=b&ss=vp
🐟斗鱼直播,http://45.88.40.8:9312/stream.php?video_id=-oOcLPlMIoE&format_id=22
劲爆热舞,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzE4NTBfMjM5NDYzNDY0NV8xMjMzODU4NDc1NTFfMl8z_b_Bfbf57eec0884d3c429a206134c59899b.mp4?clientCacheKey=3xq3d533hx34856_b.mp4&tt=b&di=6a2aa95a&bp=10000
流行舞曲,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzIxNDBfMjM5NDYzNDY0NV8xMjMzODYwOTE2NjlfMl8z_b_B3fb0c296da3db90ae1810c32aa8d87d2.mp4?clientCacheKey=3xcvhddw2gmruju_b.mp4&tt=b&di=7b0d0621&bp=10000
dj歌曲01,http://txmov2.a.kwimgs.com/upic/2023/11/28/07/BMjAyMzExMjgwNzQxNTJfMjM0Mjg1Nzg4Ml8xMTgyNzkwNjUyMDZfMV8z_b_B3a70152ca6546cbb7da723a6b2fe0031.mp4?tag=1-1701948426-std-1-4opil88qnr-8202842495ea54af&clientCacheKey=3xpw5dz59c3rqx4_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
